iter	Passed	Remaining
0	22	19026
1	44	18724
2	64	18084
3	83	17493
4	107	18008
5	145	20156
6	174	20746
7	226	23508
8	252	23282
9	274	22810
10	298	22465
11	319	22011
12	349	22218
13	381	22516
14	425	23385
15	473	24391
16	520	25180
17	558	25509
18	593	25662
19	633	25972
20	665	25958
21	688	25616
22	713	25348
23	731	24854
24	748	24410
25	766	23990
26	784	23626
27	802	23286
28	823	23034
29	842	22749
30	860	22458
31	879	22212
32	898	21975
33	915	21710
34	935	21507
35	953	21305
36	975	21165
37	996	21030
38	1014	20834
39	1030	20617
40	1048	20439
41	1065	20250
42	1083	20085
43	1103	19964
44	1121	19815
45	1138	19657
46	1155	19492
47	1172	19340
48	1189	19202
49	1207	19080
50	1226	18973
51	1245	18870
52	1263	18763
53	1281	18653
54	1302	18594
55	1326	18569
56	1344	18462
57	1359	18329
58	1376	18224
59	1396	18151
60	1413	18050
61	1430	17955
62	1446	17837
63	1468	17808
64	1484	17701
65	1502	17621
66	1518	17519
67	1533	17410
68	1549	17314
69	1564	17204
70	1578	17095
71	1594	17006
72	1608	16905
73	1623	16809
74	1640	16732
75	1656	16651
76	1671	16567
77	1686	16477
78	1701	16388
79	1716	16305
80	1730	16215
81	1745	16135
82	1761	16064
83	1776	15986
84	1790	15908
85	1805	15828
86	1819	15744
87	1834	15673
88	1849	15604
89	1865	15547
90	1879	15470
91	1894	15404
92	1909	15334
93	1924	15276
94	1941	15227
95	1959	15188
96	1977	15146
97	1994	15101
98	2009	15041
99	2026	14999
100	2043	14954
101	2059	14903
102	2077	14862
103	2092	14809
104	2112	14786
105	2130	14752
106	2148	14717
107	2167	14688
108	2184	14650
109	2201	14611
110	2216	14560
111	2237	14546
112	2261	14546
113	2284	14547
114	2340	14757
115	2380	14858
116	2510	15511
117	2547	15586
118	2575	15605
119	2598	15590
120	2631	15636
121	2658	15643
122	2684	15650
123	2705	15620
124	2722	15573
125	2740	15527
126	2759	15492
127	2777	15448
128	2796	15414
129	2812	15362
130	2832	15328
131	2849	15285
132	2867	15240
133	2885	15202
134	2904	15168
135	2925	15145
136	2943	15105
137	2965	15083
138	2983	15048
139	3012	15061
140	3032	15035
141	3058	15034
142	3084	15033
143	3107	15019
144	3133	15018
145	3160	15024
146	3187	15025
147	3204	14983
148	3222	14945
149	3244	14924
150	3266	14904
151	3287	14880
152	3316	14892
153	3346	14909
154	3369	14892
155	3404	14926
156	3427	14910
157	3459	14934
158	3481	14909
159	3500	14877
160	3525	14869
161	3544	14836
162	3561	14793
163	3579	14755
164	3596	14711
165	3617	14686
166	3633	14642
167	3652	14609
168	3670	14571
169	3687	14534
170	3705	14498
171	3722	14455
172	3736	14406
173	3753	14368
174	3768	14322
175	3784	14278
176	3799	14233
177	3816	14195
178	3831	14147
179	3846	14103
180	3861	14058
181	3876	14014
182	3891	13969
183	3904	13922
184	3918	13874
185	3932	13826
186	3947	13783
187	3961	13740
188	3979	13706
189	3997	13677
190	4019	13658
191	4038	13631
192	4058	13607
193	4080	13587
194	4098	13557
195	4119	13536
196	4140	13513
197	4159	13486
198	4178	13460
199	4195	13426
200	4214	13398
201	4234	13375
202	4253	13346
203	4274	13327
204	4291	13293
205	4313	13276
206	4334	13255
207	4360	13249
208	4405	13299
209	4440	13322
210	4477	13348
211	4503	13339
212	4524	13319
213	4547	13302
214	4565	13272
215	4585	13246
216	4606	13224
217	4624	13195
218	4651	13190
219	4674	13173
220	4697	13156
221	4718	13136
222	4740	13116
223	4766	13106
224	4788	13088
225	4811	13070
226	4828	13038
227	4847	13011
228	4867	12987
229	4884	12955
230	4901	12921
231	4917	12888
232	4935	12856
233	4949	12819
234	4966	12784
235	4980	12747
236	4994	12708
237	5013	12680
238	5031	12651
239	5046	12616
240	5063	12585
241	5078	12549
242	5092	12512
243	5109	12480
244	5130	12459
245	5158	12454
246	5180	12436
247	5203	12420
248	5221	12392
249	5241	12371
250	5262	12348
251	5282	12326
252	5305	12310
253	5325	12285
254	5347	12267
255	5370	12251
256	5400	12249
257	5421	12229
258	5443	12211
259	5467	12196
260	5486	12171
261	5505	12146
262	5524	12119
263	5538	12084
264	5556	12057
265	5572	12025
266	5588	11992
267	5604	11961
268	5622	11935
269	5639	11906
270	5656	11877
271	5673	11847
272	5693	11824
273	5717	11810
274	5736	11785
275	5754	11759
276	5774	11735
277	5801	11728
278	5822	11708
279	5838	11677
280	5855	11647
281	5869	11614
282	5884	11581
283	5900	11551
284	5916	11521
285	5931	11490
286	5951	11467
287	5967	11438
288	5987	11416
289	6005	11388
290	6022	11362
291	6038	11331
292	6054	11303
293	6071	11276
294	6088	11248
295	6104	11218
296	6120	11190
297	6136	11161
298	6152	11131
299	6167	11101
300	6183	11073
301	6200	11045
302	6218	11020
303	6233	10990
304	6252	10967
305	6269	10941
306	6286	10914
307	6302	10886
308	6320	10860
309	6340	10839
310	6359	10816
311	6379	10796
312	6397	10771
313	6416	10748
314	6433	10722
315	6450	10696
316	6465	10667
317	6484	10644
318	6501	10618
319	6521	10598
320	6538	10572
321	6556	10546
322	6573	10521
323	6592	10499
324	6610	10475
325	6627	10450
326	6648	10430
327	6666	10406
328	6684	10381
329	6701	10357
330	6719	10333
331	6738	10310
332	6755	10285
333	6775	10264
334	6792	10239
335	6809	10213
336	6826	10188
337	6844	10165
338	6859	10137
339	6877	10114
340	6894	10089
341	6912	10065
342	6928	10039
343	6945	10014
344	6963	9990
345	6980	9966
346	6995	9938
347	7013	9914
348	7032	9893
349	7049	9869
350	7067	9846
351	7084	9821
352	7101	9796
353	7120	9775
354	7140	9754
355	7156	9729
356	7175	9707
357	7191	9682
358	7208	9658
359	7224	9632
360	7241	9608
361	7258	9584
362	7277	9562
363	7294	9538
364	7314	9518
365	7333	9497
366	7349	9472
367	7373	9456
368	7389	9432
369	7406	9408
370	7422	9383
371	7439	9359
372	7455	9334
373	7475	9314
374	7491	9290
375	7507	9264
376	7522	9238
377	7539	9215
378	7558	9193
379	7575	9170
380	7592	9146
381	7607	9121
382	7626	9099
383	7642	9074
384	7657	9049
385	7674	9026
386	7690	9002
387	7710	8981
388	7736	8969
389	7760	8953
390	7783	8937
391	7807	8922
392	7828	8904
393	7849	8885
394	7871	8867
395	7892	8848
396	7913	8830
397	7932	8809
398	7949	8786
399	7968	8765
400	7986	8743
401	8002	8719
402	8019	8696
403	8036	8673
404	8053	8649
405	8070	8627
406	8095	8612
407	8117	8594
408	8138	8576
409	8162	8560
410	8181	8539
411	8207	8525
412	8228	8507
413	8251	8491
414	8274	8474
415	8298	8458
416	8326	8445
417	8350	8430
418	8374	8414
419	8398	8398
420	8421	8381
421	8439	8359
422	8458	8338
423	8476	8316
424	8492	8292
425	8515	8275
426	8535	8255
427	8555	8235
428	8572	8212
